Policy,Benchmark,IPC,L1D_Miss_Rate,L2_Miss_Rate,L1D_Avg_Miss_Latency,L2_Avg_Miss_Latency,L2_Replacements,L2_Hits,L2_Misses,L2_Accesses,L2_Demand_Hits,L2_Demand_Misses,L2_Demand_Accesses,L2_Writebacks,L2_Tags_In_Use,L2_Avg_Occupancy,L2_Total_Refs,L2_Sampled_Refs,L2_Avg_Refs,L1D_Hits,L1D_Misses,L1D_Accesses,L1D_Replacements,Num_Cycles,Committed_Insts
dsb_bc4,xalancbmk,1.007591,0.133543,0.006479,13570.809033,84292.906386,11109.0,1690468.0,11024.0,1701492.0,1690468.0,11024.0,1701492.0,10879.0,32768.0,1.0,15370199.0,43877.0,350.301958,16433321.0,2532798.0,18966119.0,1164005.0,0.0,
dsb_bc4,xz,2.017924,0.014124,1.0,73260.424621,74311.122233,42942.0,,42959.0,42959.0,,42959.0,42959.0,,32768.0,1.0,150930.0,75710.0,1.993528,14992265.0,214780.0,15207045.0,42957.0,0.0,
fifo,deepsjeng,0.03882,0.125,1.0,82925.617299,80425.618093,14285712.0,,14285712.0,14285712.0,,14285712.0,14285712.0,14285711.0,32768.0,1.0,28636448.0,14318480.0,1.999964,99999977.0,14285714.0,114285691.0,14285712.0,0.0,
fifo,exchange2,1.852123,1e-06,0.007179,16532.258065,84311.827957,0.0,12861.0,93.0,12954.0,12861.0,93.0,12954.0,,5533.807365,0.168878,243882.0,5559.0,43.87156,23652888.0,31.0,23652919.0,21.0,0.0,
fifo,imagick,2.012695,0.002714,0.726519,56888.08944,75338.648506,30382.0,11414.0,30322.0,41736.0,11414.0,30322.0,41736.0,30210.0,32768.0,1.0,165169.0,63150.0,2.615503,16598053.0,45170.0,16643223.0,41343.0,0.0,
fifo,lbm,0.242273,0.080399,0.987272,101755.302954,101228.394322,6783624.0,87454.0,6783321.0,6870775.0,87454.0,6783321.0,6870775.0,6421220.0,32768.0,1.0,13805004.0,6816392.0,2.025266,79620926.0,6961110.0,86582036.0,6870643.0,0.0,
fifo,leela,2.277815,0.00013,0.027105,16246.871741,87234.042553,50.0,1687.0,47.0,1734.0,1687.0,47.0,1734.0,50.0,32768.0,1.0,124028.0,32818.0,3.779267,14724828.0,1918.0,14726746.0,1731.0,0.0,
fifo,mcf,1.428096,0.006471,0.30576,69589.584752,91086.121613,231882.0,599947.0,264231.0,864178.0,599947.0,264231.0,864178.0,228753.0,31712.890922,0.967801,1727040.0,264650.0,6.525751,62449124.0,406721.0,62855845.0,332770.0,140046578.0,
fifo,nab,1.16122,0.004392,0.053223,44503.519057,81558.839535,29703.0,523027.0,29402.0,552429.0,523027.0,29402.0,552429.0,29235.0,32768.0,1.0,1799861.0,62471.0,28.811144,15813183.0,69763.0,15882946.0,46922.0,0.0,
fifo,omnetpp,0.917247,0.040518,0.019236,15635.408959,83125.586806,24532.0,1227294.0,24071.0,1251365.0,1227294.0,24071.0,1251365.0,22379.0,32768.0,1.0,4100002.0,57300.0,71.553264,20502105.0,865792.0,21367897.0,532749.0,0.0,
fifo,perlbench,0.60827,0.031368,0.037519,21922.492404,83670.652994,78239.0,1971344.0,76846.0,2048190.0,1971344.0,76846.0,2048190.0,54737.0,32768.0,1.0,5499654.0,111007.0,49.543308,20505900.0,664064.0,21169964.0,468892.0,0.0,
fifo,xalancbmk,0.998001,0.133507,0.009455,13872.014161,84492.57395,16578.0,1685869.0,16092.0,1701961.0,1685869.0,16092.0,1701961.0,13452.0,32768.0,1.0,6973396.0,49346.0,141.316338,16433635.0,2532042.0,18965677.0,1163995.0,0.0,
fifo,xz,2.017924,0.014124,1.0,73260.424621,74311.122233,42961.0,,42959.0,42959.0,,42959.0,42959.0,,32768.0,1.0,150968.0,75729.0,1.99353,14992265.0,214780.0,15207045.0,42957.0,0.0,
lru,deepsjeng,0.03882,0.125,1.0,82925.617299,80425.618093,14285712.0,,14285712.0,14285712.0,,14285712.0,14285712.0,14285711.0,32768.0,1.0,28636448.0,14318480.0,1.999964,99999977.0,14285714.0,114285691.0,14285712.0,0.0,
lru,exchange2,1.852123,1e-06,0.007179,16532.258065,84311.827957,0.0,12861.0,93.0,12954.0,12861.0,93.0,12954.0,,5533.807365,0.168878,243882.0,5559.0,43.87156,23652888.0,31.0,23652919.0,21.0,0.0,
lru,imagick,2.014626,0.002714,0.723388,56539.875127,75212.492132,30227.0,11543.0,30187.0,41730.0,11543.0,30187.0,41730.0,30199.0,32768.0,1.0,239612.0,62995.0,3.803667,16597578.0,45166.0,16642744.0,41343.0,0.0,
